x0000,y0000
3.7313432836,30.
11.1940298507,360.
18.6567164179,838.
26.1194029851,924.
33.5820895522,1181.
41.0447761194,1228.
48.5074626866,1277.
55.9701492537,1304.
63.4328358209,1066.
70.8955223881,929.
78.3582089552,744.
85.8208955224,701.
93.2835820896,576.
100.7462686567,475.
108.2089552239,387.
115.6716417910,320.
123.1343283582,306.
130.5970149254,227.
138.0597014925,229.
145.5223880597,210.
152.9850746269,182.
160.4477611940,158.
167.9104477612,147.
175.3731343284,137.
182.8358208955,121.
190.2985074627,118.
197.7611940299,103.
205.2238805970,114.
212.6865671642,72.
220.1492537313,76.
227.6119402985,66.
235.0746268657,87.
242.5373134328,68.
250.,45.
257.4626865672,62.
264.9253731343,162.
272.3880597015,49.
279.8507462687,47.
287.3134328358,38.
294.776119403,37.
302.2388059701,42.
309.7014925373,34.
317.1641791045,34.
324.6268656716,33.
332.0895522388,30.
339.552238806,29.
347.0149253731,33.
354.4776119403,22.
361.9402985075,45.
369.4029850746,29.
376.8656716418,30.
384.328358209,35.
391.7910447761,21.
399.2537313433,23.
406.7164179104,26.
414.1791044776,28.
421.6417910448,21.
429.1044776119,25.
436.5671641791,22.
444.0298507463,29.
451.4925373134,14.
458.9552238806,27.
466.4179104478,28.
473.8805970149,18.
481.3432835821,27.
488.8059701493,25.
496.2686567164,25.
503.7313432836,17.
511.1940298507,26.
518.6567164179,17.
526.1194029851,12.
533.5820895522,11.
541.0447761194,10.
548.5074626866,16.
555.9701492537,7.
563.4328358209,6.
570.8955223881,4.
578.3582089552,40.
585.8208955224,14.
593.2835820896,6.
600.7462686567,3.
608.2089552239,6.
615.6716417910,9.
623.1343283582,4.
630.5970149254,8.
638.0597014925,5.
645.5223880597,6.
652.9850746269,3.
660.4477611940,3.
667.9104477612,2.
675.3731343284,3.
682.8358208955,4.
690.2985074627,3.
697.7611940299,8.
705.2238805970,5.
712.6865671642,3.
720.1492537313,4.
727.6119402985,2.
735.0746268657,1.
742.5373134328,4.
750.,3.
757.4626865672,2.
764.9253731343,1.
772.3880597015,2.
779.8507462687,2.
787.3134328358,2.
794.776119403,8.
802.2388059701,4.
809.7014925373,1.
817.1641791045,1.
824.6268656716,1.
832.0895522388,2.
839.552238806,5.
847.0149253731,1.
854.4776119403,0.
861.9402985075,4.
869.4029850746,5.
876.8656716418,0.
884.328358209,3.
891.7910447761,3.
899.2537313433,4.
906.7164179104,3.
914.1791044776,4.
921.6417910448,1.
929.1044776119,2.
936.5671641791,1.
944.0298507463,7.
951.4925373134,2.
958.9552238806,2.
966.4179104478,0.
973.8805970149,3.
981.3432835821,2.
988.8059701493,0.
996.2686567164,0.
