nuclide,energy_keV,half_life
Ag-110m,1505.028,249.78 (2) d
Ag-110m,1562.294,249.78 (2) d
In-111,171.28,2.8049 (4) d
In-111,245.35,2.8049 (4) d
In-113m,391.698,1.658 (5) h
Sn-113,255.134,115.09 (3) d
Sn-113,391.698,115.09 (3) d
I-123,158.97,13.2234 (37) h
I-123,528.96,13.2234 (37) h
Te-123m,158.97,119.3 (1) d
Sb-124,602.726,60.208 (11) d
Sb-124,645.852,60.208 (11) d
Sb-124,709.33,60.208 (11) d
Sb-124,713.776,60.208 (11) d
Sb-124,722.782,60.208 (11) d
Sb-124,968.195,60.208 (11) d
Sb-124,1045.125,60.208 (11) d
Sb-124,1325.504,60.208 (11) d
Sb-124,1355.2,60.208 (11) d
Sb-124,1368.157,60.208 (11) d
Sb-124,1436.554,60.208 (11) d
Sb-124,1690.971,60.208 (11) d
Sb-124,2090.93,60.208 (11) d
I-125,35.4925,59.388 (28) d
Sb-126,223.3,12.35 (6) d
Sb-126,278.6,12.35 (6) d
Sb-126,296.6,12.35 (6) d
Sb-126,414.4,12.35 (6) d
Sb-126,414.9,12.35 (6) d
Sb-126,555.0,12.35 (6) d
Sb-126,573.8,12.35 (6) d
Sb-126,593.0,12.35 (6) d
Sb-126,656.3,12.35 (6) d
Sb-126,666.1,12.35 (6) d
Sb-126,675.0,12.35 (6) d
Sb-126,695.0,12.35 (6) d
Sb-126,697.0,12.35 (6) d
Sb-126,720.3,12.35 (6) d
Sb-126,856.7,12.35 (6) d
Sb-126,954.0,12.35 (6) d
Sb-126,989.3,12.35 (6) d
Sb-126,1034.9,12.35 (6) d
Sb-126,1213.0,12.35 (6) d
Sn-126,21.65,2.38 (6) 105 a
Sn-126,23.28,2.38 (6) 105 a
Sn-126,64.28,2.38 (6) 105 a
Sn-126,86.94,2.38 (6) 105 a
Sn-126,87.57,2.38 (6) 105 a
Sb-127,61.16,3.85 (7) d
Sb-127,252.64,3.85 (7) d
Sb-127,290.5,3.85 (7) d
Sb-127,412.1,3.85 (7) d
Sb-127,445.3,3.85 (7) d
Sb-127,473.26,3.85 (7) d
Sb-127,543.2,3.85 (7) d
Sb-127,603.9,3.85 (7) d
Sb-127,685.09,3.85 (7) d
Sb-127,697.9,3.85 (7) d
Sb-127,721.5,3.85 (7) d
Sb-127,782.6,3.85 (7) d
Xe-127,57.608,36.375 (20) d
Xe-127,145.252,36.375 (20) d
Xe-127,172.132,36.375 (20) d
Xe-127,202.86,36.375 (20) d
Xe-127,374.991,36.375 (20) d
I-129,39.578,16.1 (7) 106 a
I-131,80.185,8.0233 (19) d
I-131,284.305,8.0233 (19) d
I-131,364.489,8.0233 (19) d
