nuclide,half_life,energy_keV,intensity_percent,icc_T
Se-75,119.781 (24) d,136.0001,57.7,2.95 (5) 10−2
Se-75,119.781 (24) d,198.606,1.46,1.89 (11) 10−2
Se-75,119.781 (24) d,264.6576,58.75,7.2 (3) 10−3
Se-75,119.781 (24) d,279.5422,24.89,9.1 (4) 10−3
Se-75,119.781 (24) d,303.9236,1.308,5.38 (8) 10−2
Se-75,119.781 (24) d,400.6572,11.388,1.346 (19) 10−3
Kr-85,10.752 (23) a,514.0048,0.435,7.21 (22) 10−3
Sr-85,64.850 (7) d,514.0048,98.5,7.21 (22) 10−3
Rb-86,18.642 (18) d,1076.78,8.71,4.9 10−4
Rb-88,17.773 (11) min,898.036,14.68,3.2 (2) 10−4
Rb-88,17.773 (11) min,1836.052,22.73,<NA>
Rb-88,17.773 (11) min,2677.86,2.123,<NA>
Y-88,106.626 (21) d,898.036,93.9,3.15 (23) 10−4
Y-88,106.626 (21) d,1836.052,99.32,1.52 (15) 10−4
Y-90m,3.19 (6) h,202.53,97.1,2.72 (8) 10−2
Y-90m,3.19 (6) h,479.51,90.97,9.57 (29) 10−2
Sr-92,2.66 (4) h,241.52,3.0,<NA>
Sr-92,2.66 (4) h,430.56,3.3,<NA>
Sr-92,2.66 (4) h,953.32,3.5,<NA>
Sr-92,2.66 (4) h,1142.3,2.8,<NA>
Sr-92,2.66 (4) h,1384.94,90.0,<NA>
Y-92,3.54 (2) h,448.5,2.28,5.90 (15) 10−3
Y-92,3.54 (2) h,561.1,2.39,3.3 (1) 10−3
Y-92,3.54 (2) h,844.3,1.25,<NA>
Y-92,3.54 (2) h,934.5,13.9,7.8 (2) 10−4
Y-92,3.54 (2) h,1405.4,4.8,1.6 (1) 10−4
Nb-95,34.991 (6) d,765.803,99.808,1.47 (4) 10−3
Nb-95m,3.61 (3) d,204.117,2.28,5.15 (22) 10−2
Nb-95m,3.61 (3) d,235.69,25.1,2.88 (9)
Zr-95,64.032 (6) d,724.193,44.27,1.57 (5) 10−3
Zr-95,64.032 (6) d,756.729,54.38,1.42 (4) 10−3
Mo-99,2.7479 (6) d,40.58323,1.022,4.18 (13)
Mo-99,2.7479 (6) d,140.511,89.6,0.119 (3)
Mo-99,2.7479 (6) d,181.068,6.01,0.149 (3)
Mo-99,2.7479 (6) d,366.421,1.194,9.15 (18) 10−3
Mo-99,2.7479 (6) d,739.5,12.12,1.73 (4) 10−3
Mo-99,2.7479 (6) d,777.921,4.28,5.89 (12) 10−4
Tc-99m,6.0067 (10) h,140.511,88.5,0.119 (3)
Rh-106,30.1 (3) s,511.8534,20.52,5.59 (8) 10−3
Rh-106,30.1 (3) s,621.9,9.87,3.24 (5) 10−3
Rh-106,30.1 (3) s,1050.39,1.49,1.007 (15) 10−3
Ag-108,2.382 (11) min,632.98,1.62,3.47 (10) 10−3
Ag-108m,438 (9) a,79.131,6.9,0.310 (9)
Ag-108m,438 (9) a,433.938,90.1,9.09 (27) 10−3
Ag-108m,438 (9) a,614.276,90.5,3.35 (10) 10−3
Ag-108m,438 (9) a,722.907,90.8,2.19 (7) 10−3
Cd-109,461.4 (12) d,88.0336,3.628,26.58 (20)
Pd-109,13.58 (12) h,88.0336,3.66,26.58(20)
Ag-110,24.56 (11) s,657.76,4.6,3.18 (9) 10−3
Ag-110m,249.78 (2) d,446.812,3.65,8.9 (3) 10−3
Ag-110m,249.78 (2) d,620.3553,2.72,3.97 (12) 10−3
Ag-110m,249.78 (2) d,657.76,94.38,3.18 (9) 10−3
Ag-110m,249.78 (2) d,677.6217,10.56,3.24 (10) 10−3
Ag-110m,249.78 (2) d,687.0091,6.45,2.92 (9) 10−3
Ag-110m,249.78 (2) d,706.676,16.48,2.75 (8) 10−3
Ag-110m,249.78 (2) d,744.2755,4.71,2.32 (7) 10−3
Ag-110m,249.78 (2) d,763.9424,22.31,2.30 (9) 10−3
Ag-110m,249.78 (2) d,818.0244,7.33,1.94 (6) 10−3
Ag-110m,249.78 (2) d,884.6781,74.0,1.52 (5) 10−3
Ag-110m,249.78 (2) d,937.485,34.51,1.33 (4) 10−3
Ag-110m,249.78 (2) d,1384.2931,24.7,6.5 (2) 10−4
Ag-110m,249.78 (2) d,1475.7792,4.03,5.1 (2) 10−4
Ag-110m,249.78 (2) d,1505.028,13.16,4.5 (1) 10−4
Ag-110m,249.78 (2) d,1562.294,1.21,<NA>
In-111,2.8049 (4) d,171.28,90.61,0.1036 (24)
In-111,2.8049 (4) d,245.35,94.12,6.25 (7) 10−2
In-113m,1.658 (5) h,391.698,64.85,0.542 (6)
Sn-113,115.09 (3) d,255.134,2.095,4.6 (6) 10−2
Sn-113,115.09 (3) d,391.698,64.85,0.542 (6)
I-123,13.2234 (37) h,158.97,83.31,0.1918 (19)
I-123,13.2234 (37) h,528.96,1.25,<NA>
Te-123m,119.3 (1) d,158.97,83.99,0.1918 (19)
Sb-124,60.208 (11) d,602.726,97.775,4.90 (7) 10−3
Sb-124,60.208 (11) d,645.852,7.422,4.09 (6) 10−3
Sb-124,60.208 (11) d,709.33,1.363,4.02 (6) 10−3
Sb-124,60.208 (11) d,713.776,2.273,3.6 (4) 10−3
Sb-124,60.208 (11) d,722.782,10.708,3.14 (5) 10−3
Sb-124,60.208 (11) d,968.195,1.887,6.53 (11) 10−4
Sb-124,60.208 (11) d,1045.125,1.852,5.67 (10) 10−4
Sb-124,60.208 (11) d,1325.504,1.587,8.27 (12) 10−4
Sb-124,60.208 (11) d,1355.2,1.0412,1.1 (5) 10−3
Sb-124,60.208 (11) d,1368.157,2.62,4.78 (7) 10−4
Sb-124,60.208 (11) d,1436.554,1.234,7.8 (5) 10−4
Sb-124,60.208 (11) d,1690.971,47.46,6.15 (9) 10−4
Sb-124,60.208 (11) d,2090.93,5.493,8.38 (12) 10−4
I-125,59.388 (28) d,35.4925,6.63,14.08(22)
Sb-126,12.35 (6) d,223.3,1.4,<NA>
Sb-126,12.35 (6) d,278.6,2.2,<NA>
Sb-126,12.35 (6) d,296.6,4.9,3.56 (4) 10−2
Sb-126,12.35 (6) d,414.4,83.6,1.408 (20) 10−2
Sb-126,12.35 (6) d,414.9,1.0,<NA>
Sb-126,12.35 (6) d,555.0,1.8,<NA>
Sb-126,12.35 (6) d,573.8,6.7,<NA>
Sb-126,12.35 (6) d,593.0,7.5,<NA>
Sb-126,12.35 (6) d,656.3,2.2,<NA>
Sb-126,12.35 (6) d,666.1,99.68,3.2 (1) 10−3
Sb-126,12.35 (6) d,675.0,3.7,<NA>
Sb-126,12.35 (6) d,695.0,99.68,3.2 (1) 10−3
Sb-126,12.35 (6) d,697.0,32.0,<NA>
Sb-126,12.35 (6) d,720.3,53.8,<NA>
Sb-126,12.35 (6) d,856.7,17.5,8.32 (12) 10−4
Sb-126,12.35 (6) d,954.0,1.5,<NA>
Sb-126,12.35 (6) d,989.3,6.8,<NA>
Sb-126,12.35 (6) d,1034.9,1.0,<NA>
Sb-126,12.35 (6) d,1213.0,2.3,<NA>
Sn-126,2.38 (6) 105 a,21.65,1.26,2.09 (3)
Sn-126,2.38 (6) 105 a,23.28,6.4,6.07 (9)
Sn-126,2.38 (6) 105 a,64.28,9.6,0.651 (10)
Sn-126,2.38 (6) 105 a,86.94,8.9,2.71 (4)
Sn-126,2.38 (6) 105 a,87.57,37.0,0.274 (4)
Sb-127,3.85 (7) d,61.16,1.14,4.2 (3)
Sb-127,3.85 (7) d,252.64,8.28,6.52 (17) 10−2
Sb-127,3.85 (7) d,290.5,1.84,3.79 (6) 10−2
Sb-127,3.85 (7) d,412.1,3.43,1.431 (20) 10−2
Sb-127,3.85 (7) d,445.3,4.18,1.20 (4) 10−2
Sb-127,3.85 (7) d,473.26,24.8,1.072 (16) 10−2
Sb-127,3.85 (7) d,543.2,2.62,6.48 (9) 10−3
Sb-127,3.85 (7) d,603.9,4.21,5.92 (9) 10−3
Sb-127,3.85 (7) d,685.09,35.4,3.52 (5) 10−3
Sb-127,3.85 (7) d,697.9,3.36,3.36 (5) 10−3
